"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: size"
"com.lineate.school.SearchBenchmark.hashSet:CPI","avgt",1,1,0.958588,NaN,"#/op",100000
"com.lineate.school.SearchBenchmark.hashSet:L1-dcache-load-misses","avgt",1,1,3.771996,NaN,"#/op",100000
"com.lineate.school.SearchBenchmark.hashSet:L1-dcache-loads","avgt",1,1,30.928553,NaN,"#/op",100000
"com.lineate.school.SearchBenchmark.hashSet:L1-dcache-store-misses","avgt",1,1,0.386083,NaN,"#/op",100000
"com.lineate.school.SearchBenchmark.hashSet:L1-dcache-stores","avgt",1,1,12.888262,NaN,"#/op",100000
"com.lineate.school.SearchBenchmark.hashSet:L1-icache-load-misses","avgt",1,1,0.020577,NaN,"#/op",100000
"com.lineate.school.SearchBenchmark.hashSet:LLC-load-misses","avgt",1,1,0.184796,NaN,"#/op",100000
"com.lineate.school.SearchBenchmark.hashSet:LLC-loads","avgt",1,1,3.402962,NaN,"#/op",100000
"com.lineate.school.SearchBenchmark.hashSet:LLC-store-misses","avgt",1,1,0.089991,NaN,"#/op",100000
"com.lineate.school.SearchBenchmark.hashSet:LLC-stores","avgt",1,1,0.122696,NaN,"#/op",100000
"com.lineate.school.SearchBenchmark.hashSet:branch-misses","avgt",1,1,0.015747,NaN,"#/op",100000
"com.lineate.school.SearchBenchmark.hashSet:branches","avgt",1,1,22.640001,NaN,"#/op",100000
"com.lineate.school.SearchBenchmark.hashSet:cycles","avgt",1,1,124.963575,NaN,"#/op",100000
"com.lineate.school.SearchBenchmark.hashSet:dTLB-loads","avgt",1,1,30.941579,NaN,"#/op",100000
"com.lineate.school.SearchBenchmark.hashSet:dTLB-store-misses","avgt",1,1,0.000607,NaN,"#/op",100000
"com.lineate.school.SearchBenchmark.hashSet:dTLB-stores","avgt",1,1,12.903098,NaN,"#/op",100000
